iter,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,32000,-0.19570423662662506,0.0,0.0,0,0.011666621263429988,2.743440642952919,9.743924249505653e-05,1.2081129159778357,35564.587617535544
1,64000,-0.27909407019615173,0.0,0.0,0,0.009262790362743543,2.7200862765312195,0.0012635817984119058,3.2602230235934258,83223.40064017379
2,96000,-0.2397061437368393,1.0,21.870333399091447,14,0.004149403703525422,2.7101909294724464,-0.001025013789330842,53.38735795021057,80649.8189779457
3,128000,-0.12265050411224365,1.0,26.074491451948116,39,0.006664237516361027,2.706490032374859,-0.0018702393117564498,137.62473011016846,80234.62670980164
4,160000,0.09594167768955231,1.0,28.299393623105942,93,0.00544221220388863,2.7040567845106125,-0.001219012066940195,286.17266941070557,81392.13473639856
5,192000,0.2463742047548294,1.0,33.95456035320576,130,0.0033856189890811945,2.7028660774230957,-0.0019013084911421174,369.87486457824707,81357.81846275895
6,224000,-0.25986894965171814,0.03285515964831097,18.812532559085476,2161,0.005806129288192096,2.7021977677941322,-0.0016543779854032437,179.59941911697388,84545.69839254368
7,256000,0.43361330032348633,0.076076993583868,2.2883832356341927,2182,0.004735428870833857,2.7007124796509743,-0.0011516637168824673,477.4502286911011,81208.10083873199
8,288000,0.7209864854812622,0.11408512505484862,4.316660252931402,2279,0.0009681300764900697,2.7006781101226807,-0.00036008560164191294,594.4138450622559,83032.36070199864
9,320000,0.6935732364654541,0.11076923076923077,4.641164210392879,2275,0.0021163744114038536,2.7007947713136673,-0.001616301857666258,542.0779190063477,84179.02873911499
10,352000,0.8686889410018921,0.12790697674418605,5.457086666609889,2322,0.001277800822407471,2.700591094791889,-0.0012939241514686728,611.4388313293457,84158.01038952863
11,384000,0.9020209908485413,0.13127413127413126,5.506058478958869,2331,0.0008249290576746943,2.7007124722003937,-0.0005632346837955993,576.0296440124512,84482.78253047515
12,416000,0.8521758317947388,0.12228714524207011,6.471116895468684,2396,0.0016934269312286574,2.7007187604904175,-0.0016218328000832116,560.6352491378784,84529.92285068781
13,448000,0.9946050643920898,0.13742071881606766,5.724126726275519,2365,0.0020223483117121077,2.7004982382059097,-0.0014997019252405153,587.8140335083008,85680.90099028479
14,480000,0.9528524875640869,0.1325503355704698,5.647110801415155,2384,0.0010045703437201892,2.700373835861683,-0.0007086150426403037,542.6503763198853,85837.7019331315
15,512000,1.1229143142700195,0.1481023102310231,6.304225040347663,2424,0.0013557698962206358,2.7002455815672874,-0.000902313957340084,565.9478092193604,83339.96428769839
16,544000,1.1917400360107422,0.15428805908904392,6.493876398123333,2437,0.0013706001438961266,2.699978418648243,-0.0010592500889288203,584.0358600616455,81407.36482463362
17,576000,1.1667026281356812,0.15201314708299096,6.456459267960284,2434,0.0012116844895747362,2.699872240424156,-0.0007311919071071316,539.0727796554565,82467.59538998568
18,608000,1.2319608926773071,0.15765765765765766,6.6886034628878255,2442,0.0017729874810409427,2.6997939571738243,-0.001509553458845403,536.864010810852,82987.12380169993
19,640000,1.3196544647216797,0.16605913325232888,7.171698816298666,2469,0.0014006111925723985,2.6995021402835846,-0.0008097841055132449,543.4194679260254,81266.37885694695
