iter,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,32000,-0.12796711921691895,0.0,0.0,0,0.02051813279831549,2.75486758351326,0.003916527901310474,0.809188961982727,38300.52159585355
1,64000,-0.16344350576400757,1.0,20.048160552978516,2,0.019565126167435665,2.7511496543884277,0.0015410547784995288,8.580494433641434,92926.7149523801
2,96000,-0.147682324051857,1.0,22.225407282511394,6,0.013848129670335765,2.7508504887421927,-0.0006516975651417548,20.323849658171337,88323.614565183
3,128000,-0.07392213493585587,1.0,25.10825655537267,31,0.008904111032279616,2.753277465701103,-0.0015954628834151663,100.62131929397583,84788.39717570548
4,160000,-0.09116344153881073,1.0,31.65163344144821,32,0.008606172667430655,2.756561480462551,-0.0015658573420296307,98.59073805809021,85699.518003829
5,192000,-0.009769857861101627,1.0,38.04394390897931,53,0.0099775740827572,2.758048452436924,-0.003806039393566607,167.59161567687988,82508.68374937508
6,224000,-1.7034082412719727,0.0021547502448579824,10.797640295897361,10210,0.004070518204560358,2.7585060745477676,-0.0012563659606712463,82.66365945339203,84220.58070046092
7,256000,-0.25993722677230835,0.003551995163240629,0.11615789124005652,13232,0.006623594515417608,2.7586919888854027,-0.0029750010144198313,155.1929066181183,83983.2713406462
8,288000,0.01952766440808773,0.010207911131126624,0.4255682089070537,13323,0.0040363427365155075,2.758185051381588,-0.0008197269407901331,352.59496879577637,85713.98204100538
9,320000,-0.24741804599761963,0.005592007157769162,0.35393669396914407,13412,0.002644184223288903,2.7568161636590958,-0.0006205555346241454,179.6838526725769,83522.59183035753
10,352000,-0.435076504945755,0.0027690738176783503,0.30788360142042415,13723,0.005400927888764272,2.7530477643013,-0.001717735704005463,93.68691158294678,82620.28989259155
11,384000,-0.5581125617027283,0.001196003939777684,0.31489212623339624,14214,0.004662893485579843,2.750975176692009,-0.0007292511304513027,44.37802839279175,81420.37083895828
12,416000,-1.1546348333358765,0.0005660911406736484,2.4813303407852083,17665,0.003917488338174735,2.7540228217840195,-0.0008534917947145004,43.03637456893921,82136.56275968006
13,448000,-0.7100414037704468,0.0002889060092449923,0.1408283625986249,20768,0.0037675498792850703,2.757823519408703,-0.0008556777538615279,19.98870360851288,83069.3161153778
14,480000,-0.7539317011833191,0.0005608262840585129,0.37049986027265064,21397,0.008371484529561712,2.7698394283652306,3.2739581911300775e-05,40.61152982711792,82568.67579410376
15,512000,-0.6464210748672485,0.0014201942459226681,0.24166020216338033,21828,0.006300370303950331,2.7724523693323135,-0.0013987631500640418,86.75143003463745,82586.20880849853
16,544000,-0.6057059168815613,0.0017303401484449706,0.1864046387146755,21961,0.005945305747445673,2.774250164628029,-0.0017151708852907177,107.13681530952454,81231.35008999213
17,576000,-0.4223717153072357,0.00381038784304831,0.20525487846570048,22045,0.002377688014234991,2.772764764726162,-0.0022006954577591387,199.16327953338623,81471.79780385579
18,608000,-0.41435059905052185,0.003937542430414121,0.28071346744797193,22095,0.002070754942952135,2.7715336829423904,-0.00032779204775579274,198.82278966903687,80013.74456226984
19,640000,-0.5018193125724792,0.0027956892275781214,0.13272406101635334,22177,0.0029100838875028784,2.7714204266667366,-0.0008130904435574848,148.21897792816162,82202.43314404719
20,672000,-0.4721679985523224,0.003321215385305866,0.22889051929174434,22281,0.002540178097649914,2.7707499563694,-0.0005986297364870552,168.53943634033203,79838.35288212729
21,704000,-0.4964890778064728,0.0030729491404649506,0.2128685866033361,22454,0.002808325700801106,2.770351730287075,-0.000689234877427225,147.14193296432495,80797.46430688584
22,736000,-0.4064067602157593,0.004033687943262411,0.22151602684183325,22560,0.002619639749241287,2.770406983792782,-0.0010612823425617535,197.93295097351074,80602.82205741334
23,768000,-0.3716866374015808,0.004375303840544483,0.22420697847173213,22627,0.0025978168225610715,2.769910030066967,-0.0011859346832352458,211.70680856704712,82588.37649954976
24,800000,-0.2861134707927704,0.005295908910366741,0.24706907780342266,22659,0.0016326686714194238,2.769050806760788,-0.0004264484377927147,235.00249004364014,82293.79659407922
25,832000,-0.2675777077674866,0.005472922275676391,0.22344555096934182,22657,0.001527409032689775,2.7685335278511047,-0.00046255835309239046,243.26244735717773,83276.8566622054
26,864000,-0.26805001497268677,0.005464721695826539,0.2505557035150537,22691,0.0015826021847293531,2.7686439752578735,-0.00041129002056550235,233.8715467453003,80697.09092389584
27,896000,-0.22323548793792725,0.005991453367989779,0.25277264008223105,22699,0.0020128623719874667,2.768689528107643,-0.0005866677656740649,245.54697608947754,82041.36535350744
28,928000,-0.21425552666187286,0.006035774077011191,0.2530718943822519,22698,0.0016456723326996325,2.769000194966793,-0.000629483658940444,235.3184037208557,83864.05982663356
29,960000,-0.17754386365413666,0.00647234941880944,0.27570079018759786,22712,0.0013246767879309118,2.769388370215893,-0.0003332168525957968,249.89324426651,83823.49097694684
30,992000,-0.18397954106330872,0.006386258533362696,0.25741091268069416,22705,0.0017142479565914071,2.7693815007805824,-0.00045463523747457657,234.75577211380005,83363.10047108907
31,1024000,-0.11031370609998703,0.007260406582768635,0.2966453806044486,22726,0.001415887061081321,2.7693944051861763,-0.0005567359860378929,255.8366675376892,84299.89263232613
32,1056000,-0.1317829042673111,0.006954531449447599,0.2796221288599343,22719,0.002171433536364475,2.7693266347050667,-0.0008556163193134125,233.2653784751892,82187.52937612952
33,1088000,-0.20553907752037048,0.006123348017621146,0.2419628113061846,22700,0.0015368636381717805,2.7685308158397675,-0.0005454694182844833,185.35899925231934,81764.86371984087
34,1120000,-0.1266571283340454,0.007041943576427094,0.288026806586362,22721,0.0025321240466273593,2.767789050936699,-0.0009699507761524728,195.11257076263428,83168.52580230772
35,1152000,-0.1431429386138916,0.006867406233491812,0.2772700270625734,22716,0.003132687867459026,2.7675256058573723,-0.0010825501649378566,185.11307764053345,81208.46726080701
36,1184000,-0.2126419097185135,0.006036040005287042,0.24285237852285552,22697,0.0030000816102201495,2.7675699815154076,-0.0012233841134730028,165.92827939987183,81214.17856802512
37,1216000,-0.10793615132570267,0.0073034449381846975,0.3161273799206275,22729,0.0016263088563973724,2.7671489268541336,-0.0005378442810339834,185.17552137374878,80638.18937892785
38,1248000,-0.1500425636768341,0.006779959496345866,0.2718043488978374,22714,0.001685871965811202,2.766770489513874,-0.0005065902005298994,172.0183391571045,81305.97746527068
39,1280000,-0.15521785616874695,0.006692202703297671,0.2803456995859122,22713,0.0028495023056420905,2.766207806766033,-0.0007677322901145089,159.5357608795166,82541.475556399
40,1312000,-0.164551243185997,0.006604728985953943,0.2692849014495209,22711,0.0020815999185751933,2.765245646238327,-0.0007383857928289217,152.776198387146,82378.5954468397
41,1344000,-0.11164180189371109,0.0072164041186306436,0.3006269362131643,22726,0.0030708772023790515,2.763759031891823,-0.0009410962211404694,161.65908193588257,81481.94555148108
42,1376000,-0.10704904794692993,0.007260726072607261,0.2988666407686911,22725,0.002716415486669575,2.7617733404040337,-0.0003441147218836704,154.59845113754272,80522.4745035296
43,1408000,-0.08508030325174332,0.007522435333450642,0.292471391811099,22732,0.002842087366594569,2.7611050754785538,-0.0004058676786371507,154.5455141067505,78596.19898845717
