iter,stage,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,6,96000,0.2366511970758438,0.009614583730581217,38.16155824251473,1000,0.035011653675697745,1.2587215602397919,0.005767627037130296,495.52396392822266,67926.39986656183
1,6,192000,0.24402880668640137,0.00991666713525774,38.069178039208055,1000,0.008439943720402273,1.2616293393075466,0.00041405769661650993,522.8338680267334,93556.65557943228
2,6,288000,0.19425325095653534,0.007406250300846295,37.82725821792459,1000,0.006016872039530426,1.2593343146145344,0.0002779615897452459,361.20233249664307,89122.89036064268
3,6,384000,0.2322320193052292,0.009364583756299302,37.927285776784025,1000,0.008255284004223843,1.2610727474093437,0.0007833635554561624,490.5283269882202,92692.3632987915
4,6,480000,0.18242274224758148,0.006875000313205722,38.14489121362567,1000,0.0069494057315265916,1.2636305838823318,0.00046299458836074336,326.52189540863037,94106.48870536988
5,6,576000,0.2021634876728058,0.007864583703243019,38.17131628949816,1000,0.03418352571409196,1.266838550567627,0.004674388939747587,448.2380485534668,99919.9428899767
6,6,672000,0.20944844186306,0.008250000408831207,38.234140384321414,1000,0.005683065904673034,1.2697456404566765,0.00021048574035376078,429.7002191543579,93874.1556298361
7,6,768000,0.17430169880390167,0.006427083620413517,37.79848619674643,1000,0.004416110350299277,1.275306910276413,-0.0002933009891421534,280.6751890182495,94107.06656387806
8,6,864000,0.14558161795139313,0.005093750200709716,38.248207618792854,1000,0.004028805867904642,1.28049386292696,0.00014885795462760143,232.5246319770813,93637.25690192904
9,6,960000,0.2006838023662567,0.00778125037929082,38.18439486684898,1000,0.0025526605934185985,1.2850721664726734,2.4576980649726465e-05,384.18177127838135,91845.44513274857
10,6,1056000,0.2254696488380432,0.0090520837038639,38.25406642879049,1000,0.003018214295159851,1.2861014418303967,-0.0002793162602756638,478.06622409820557,94392.39296109336
11,6,1152000,0.16681334376335144,0.006104166926282535,38.29171000234783,1000,0.002232085455742587,1.2871530205011368,-0.0001057280137501948,270.9925117492676,91810.23988564854
12,6,1248000,0.1900322586297989,0.007312500304882026,38.487861144045986,1000,0.002328449883271484,1.2887509725987911,-0.0001703715079202084,355.06590461730957,92545.13188157401
13,6,1344000,0.1674831360578537,0.00618750029389048,38.347852020214,1000,0.0009464093738301925,1.2895704433321953,1.2985548437427497e-05,246.86881732940674,94018.92690966274
14,6,1440000,0.22599796950817108,0.009104167054222975,38.37744633667171,1000,0.0018185765027487833,1.2902959622442722,-0.00019269046742920182,476.52993297576904,93531.61928839453
15,6,1536000,0.23840288817882538,0.009718750420385428,38.399650479356445,1000,0.0005994778320825653,1.2904332056641579,-0.00012050817349518184,478.16930198669434,94633.29059244519
