iter,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,32000,-0.19570423662662506,0.0,0.0,0,0.011273544042705905,2.743440642952919,9.743924249505653e-05,1.2081129159778357,36208.703190484885
1,64000,-0.27909407019615173,0.0,0.0,0,0.008655757229575102,2.720025956630707,0.0012515824892034288,3.2521455213427544,84702.88210201154
2,96000,-0.23921431601047516,1.0,22.830215181623185,14,0.0034512271654994035,2.709946371614933,-0.0011194840690222918,53.37419402599335,85575.44726791773
3,128000,-0.12733830511569977,1.0,25.988216812546188,37,0.005483627496416375,2.706603951752186,-0.001707217348894119,130.84077548980713,85328.08577172474
4,160000,0.21153703331947327,1.0,28.067090688658155,121,0.00524391159912193,2.704489730298519,-0.0013864176653441973,380.4586992263794,85273.63633009385
5,192000,0.4623757600784302,1.0,32.398870132781646,182,0.0027716924526103026,2.703369602560997,-0.0009990002763515804,509.472412109375,85416.97431786852
6,224000,-0.019833365455269814,0.08362989323843416,28.34234838383902,1124,0.0032134297865543393,2.7030126750469208,-0.0013391126508395246,235.91646432876587,82638.97270751388
7,256000,0.6334146857261658,0.26153846153846155,8.184262451758752,780,0.002781744765100482,2.702225387096405,-0.001253260710655013,567.6766166687012,85209.1334097232
8,288000,0.9952847361564636,0.35634743875278396,13.847061123242623,898,0.0007906619359909078,2.702062927186489,-0.0005928162162263106,711.3098678588867,83055.51027232877
9,320000,1.0050233602523804,0.3558758314855876,14.702625113950337,902,0.0005162427218830395,2.7020580247044563,-0.0006223364816833055,666.8328495025635,83630.5054032715
10,352000,1.046247959136963,0.35917030567685587,15.35553190905975,916,0.00157084685436348,2.701963096857071,-0.0008940754360082792,631.8110218048096,87085.04956852915
11,384000,1.0844074487686157,0.36451612903225805,15.279113363450573,930,0.0005543998715316495,2.7019897997379303,-0.0006724089507770259,623.0414562225342,85265.44407608516
12,416000,1.1617940664291382,0.36363636363636365,17.151373660925664,990,0.0012961255518327136,2.7019407376646996,-0.0013146989722372382,617.1224842071533,84567.18441100493
13,448000,1.2287485599517822,0.38716356107660455,15.680607987239988,966,0.0011029373159087696,2.701802082359791,-0.0012212246901981416,608.8307590484619,84522.24569209549
14,480000,1.1436619758605957,0.36279547790339156,14.65659933688094,973,0.0015761921471043883,2.701565608382225,-0.0013424055655377742,527.6976537704468,86287.12405076937
15,512000,1.2584400177001953,0.37896825396825395,15.618749520135305,1008,0.0013903400119324952,2.701195515692234,-0.001551948986126206,555.9268665313721,85942.32177078475
16,544000,1.2983402013778687,0.3864306784660767,16.23073686657871,1017,0.0016263289539915557,2.7008507400751114,-0.0010187956813751953,533.3157978057861,87095.24221264434
17,576000,1.3464062213897705,0.3951219512195122,16.130507336128048,1025,0.0017737798180643798,2.7007024064660072,-0.0010150156704185065,514.1833372116089,85970.12874714592
18,608000,1.466423511505127,0.41232227488151657,16.799870206281472,1055,0.002013725935372808,2.700532302260399,-0.0014984386945116057,518.5289268493652,84266.01060471348
19,640000,1.4792852401733398,0.41415094339622643,16.774936474494215,1060,0.0025175504926455705,2.7001874893903732,-0.0015246210696204798,503.4519805908203,83862.31541591747
20,672000,1.4748485088348389,0.40575673166202414,16.528381999377974,1077,0.0025417721309877322,2.699897848069668,-0.0013711580195376882,465.2148494720459,82239.30429540074
21,704000,1.6558213233947754,0.4300884955752212,17.09015565045112,1130,0.0012575790940161369,2.6997359097003937,-0.0010952627142160054,462.66377353668213,84363.8262650509
22,736000,1.667277216911316,0.4300884955752212,17.232565496664133,1130,0.0022796915658041157,2.6995102614164352,-0.0013876644002266403,447.45600605010986,85321.7154732441
23,768000,1.76492178440094,0.44348576358930114,18.237659865766894,1159,0.0006601878603651051,2.699241243302822,-0.0009361274851471535,436.09137630462646,85351.37342906126
24,800000,1.8493030071258545,0.45408163265306123,18.46804007705377,1176,0.0022137868908096298,2.6990373209118843,-0.0012539457233060602,424.2344207763672,84365.16032853705
25,832000,1.79705011844635,0.4475043029259897,17.71607472194862,1162,0.001704358348186134,2.6990059688687325,-0.0007719097593508195,386.964072227478,84143.69562875917
26,864000,1.9783055782318115,0.47024793388429753,18.758470090755747,1210,0.0017260200319099,2.699005849659443,-0.001117801558393694,383.2811555862427,85281.979936433
27,896000,2.0147061347961426,0.4741166803615448,18.073878517871815,1217,0.00240103464533558,2.699027143418789,-0.0011305014413665049,370.2320604324341,85336.3487792617
28,928000,2.0450637340545654,0.4775510204081633,17.664414012675383,1225,0.002133640603836284,2.6987872943282127,-0.0012578311398101505,348.55766010284424,83571.3176782133
29,960000,1.9777636528015137,0.46975973487986744,16.994858761513242,1207,0.0017842924109644012,2.6979419738054276,-0.0009479995742367464,321.142391204834,85980.37417055499
30,992000,2.112299680709839,0.4847266881028939,17.907576876821242,1244,0.003480740260200051,2.6973099410533905,-0.0015187870503723389,308.7142028808594,85286.72038681808
31,1024000,2.1548256874084473,0.4892601431980907,17.618711545909314,1257,0.0030716844683984224,2.6968190521001816,-0.0011868289229823858,295.93342876434326,83630.44070814233
32,1056000,2.1763699054718018,0.4916732751784298,17.741012391733992,1261,0.0017407086206349051,2.69560519605875,-0.0007597818548674695,278.6588387489319,85661.48122267159
33,1088000,2.3717100620269775,0.512937595129376,18.222072885823938,1314,0.0025076513738567924,2.694427974522114,-0.0008304646571559715,271.12723684310913,83613.33785240939
34,1120000,2.3395354747772217,0.508825786646201,17.7835112284077,1303,0.0035784696034825425,2.6934404596686363,-0.001396806645061588,255.40742349624634,85933.26000135858
35,1152000,2.410210132598877,0.5162509448223734,18.028504963454566,1323,0.002462671355235202,2.6921397149562836,-0.0006884401227580383,236.53016471862793,80766.34867098178
36,1184000,2.266688585281372,0.5019455252918288,16.924922007994894,1285,0.004819735490767925,2.691117040812969,-0.0010017333152063657,211.50100946426392,85181.76362962581
37,1216000,2.526139736175537,0.5283714075165807,18.611326798148777,1357,0.003210845351199157,2.6894087344408035,-0.0008366928841496701,198.6843762397766,82470.33922281623
38,1248000,2.5245494842529297,0.5287187039764359,17.998940424294112,1358,0.0060132615852853625,2.68736719340086,-0.0017809427372412756,183.52849578857422,85341.10119448525
39,1280000,2.5674071311950684,0.5321637426900585,17.658541896886994,1368,0.002956534304052183,2.6852268502116203,-0.0003807616976700956,175.0359501838684,85600.3344721206
40,1312000,2.714923620223999,0.5457771469127041,18.12864161992936,1409,0.00646897688298486,2.6836074218153954,8.283557838240085e-05,167.30173349380493,85391.53711543811
41,1344000,2.694079637527466,0.5441595441595442,17.774314271758424,1404,0.006530233474652057,2.6813542544841766,0.00031424680673808325,159.6480474472046,83875.56945148947
42,1376000,2.711348295211792,0.5457771469127041,17.51862031437134,1409,0.005256572651502214,2.6777074560523033,-0.00020454462355701253,154.327796459198,82535.72953855446
43,1408000,2.7792365550994873,0.5515066573230554,17.8620107178932,1427,0.004666899446252502,2.6753130927681923,-0.00042230986582580954,149.78795647621155,82916.07739136874
44,1440000,2.748548984527588,0.5496129486277269,17.635183808167664,1421,0.0058121459237245295,2.673088662326336,0.0006765559046471026,145.0461609363556,82419.42298498284
45,1472000,2.8776938915252686,0.5610425240054869,17.64440174913864,1458,0.009032288788497676,2.6693988144397736,0.0015074327257025288,141.82723569869995,82778.68424415163
46,1504000,2.874950885772705,0.5604395604395604,17.27692128275777,1456,0.008292592269019211,2.6679255068302155,0.001035886472891434,137.9675567150116,81885.11427041767
47,1536000,2.8838629722595215,0.5607412491420728,17.119385603444577,1457,0.007100460621384629,2.663938954472542,0.0009266900979127968,136.6606035232544,81494.26789462456
