iter,stage,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,0,512,16.065027236938477,1.0,8.561806678771973,64,0.10726506914943457,2.755779653787613,0.0355940037406981,2092.8273162841797,649.5272618118246
1,0,1024,-0.20803302526474,0.0,0.0,0,0.020679808920249343,2.7541869580745697,0.006871646735817194,0.5191277004778385,5282.41443437281
2,0,1536,-0.26095205545425415,0.0,0.0,0,0.01398768211947754,2.7517924681305885,-0.0023217451525852084,0.2899264874868095,3350.908959770026
3,0,2048,-0.3134761154651642,0.0,0.0,0,0.005337741371477023,2.7491867020726204,-0.0022482225322164595,0.78680090745911,3373.904468509997
