iter,stage,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,0,160000,2.37315034866333,1.0,24.007093989164318,3238,0.008021376677509398,2.754736289381981,0.00046860688325978117,911.2054653167725,123124.51828034667
1,0,320000,-0.2658296823501587,1.0,22.045854568481445,1,0.0076233825309784155,2.7401160448789597,-0.0048384555695974996,5.586402669548988,198622.72569115335
2,0,480000,-0.318556010723114,1.0,23.202917522854275,9,0.02013967155579012,2.717178761959076,0.0043688359000952914,17.099486827850342,209914.39351217452
3,0,640000,-0.27280616760253906,1.0,22.7209797611943,27,0.00827873774296022,2.7089094296097755,-0.003870896226601417,22.545007646083832,195771.04204649964
4,0,800000,-0.1597393900156021,1.0,23.466834656735685,141,0.010105597068186763,2.697420120239258,-0.0036289878935349407,96.82555317878723,189342.4910389292
5,1,960000,0.04975241422653198,1.0,24.009988480847646,433,0.007958039913132962,2.692842312157154,-0.003660926544398535,261.8632926940918,181375.68101242481
6,1,1120000,-0.7961038947105408,0.010073227362028933,7.23116430850471,27995,0.004438772566222679,2.6901179775595665,-0.0011732351172213384,137.43987822532654,185900.60602389916
7,1,1280000,0.2345840483903885,0.018399791503778993,0.4344913052182848,38370,0.005706344730034471,2.6835330203175545,-0.0002256901158261826,455.8569507598877,187713.37826940854
8,1,1440000,0.5787867903709412,0.03528809218950064,0.873863350334607,39050,0.0014496059439252805,2.6822956576943398,-0.0015369779887350887,631.1175308227539,178349.51301201308
9,1,1600000,0.5147181749343872,0.031870361334394824,0.7903034875687975,38939,0.0024027530727363682,2.681868754327297,-0.001748263770423364,568.1873989105225,170370.34511470082
10,1,1760000,0.6288909912109375,0.03580275287928701,0.898746679951847,39159,0.001968477081796027,2.681360647082329,-0.0014473111604047517,600.2092437744141,167675.0457021724
11,1,1920000,0.6364379525184631,0.03567060741948634,0.9173735825810392,39248,0.0011862043407056832,2.6807154193520546,-0.0008772234377829591,592.8663330078125,167465.61546344476
12,1,2080000,0.5324923396110535,0.032374634919063415,1.2106040636210575,40402,0.0018224550357316392,2.680314354598522,-0.001167628124676412,560.4258289337158,169600.8680396968
13,1,2240000,0.677792489528656,0.03505144608498942,0.8984011811795543,41111,0.002201159664944828,2.6796206533908844,-0.0015208488039206713,600.6572284698486,173070.4380107304
14,1,2400000,0.775123119354248,0.03856954278171127,1.0977010174156967,41665,0.0017843762727652234,2.678625389933586,-0.0013910353627579752,621.1122646331787,170976.15301751977
15,1,2560000,0.8583878874778748,0.040411742279832255,1.1057633484677871,41968,0.0013439544120450592,2.6779746264219284,-0.0009166827385342913,637.7081146240234,173371.52242800302
16,1,2720000,0.9229118824005127,0.04203529356105407,1.1360584747578668,42274,0.001529350871071017,2.6774285212159157,-0.001046409902301093,635.6473178863525,175023.34248078236
17,1,2880000,0.9609026312828064,0.04302265341685113,1.1408199227120668,42466,0.0009148736304706519,2.6766812801361084,-0.000704667156242067,628.0281677246094,173968.74316204604
18,1,3040000,1.064302921295166,0.046073371786189664,1.2446505877481873,42823,0.0012197752274798745,2.6761314868927,-0.0007476022599348653,635.2560138702393,173403.86508062994
19,1,3200000,1.1099144220352173,0.04717530576587071,1.2045819976931058,42925,0.0009530837639215861,2.675681211054325,-0.0006657624817307806,614.7548427581787,176568.99058603393
20,1,3360000,1.1660218238830566,0.04883769536239289,1.267574312163087,43061,0.0013160046104234652,2.675418943166733,-0.0008362439568294633,621.126630783081,176617.13435460723
21,1,3520000,1.1290768384933472,0.04753725453785804,1.234765485028006,43082,0.0013082555105002032,2.674901954829693,-0.0008188431929738726,600.1907119750977,176891.03657292912
22,1,3680000,1.1933146715164185,0.04944991314418066,1.256147503347568,43175,0.00133444582849935,2.6744968742132187,-0.0006912078383720655,580.0824317932129,176700.74608909886
23,1,3840000,1.2678167819976807,0.051672853881804974,1.3290255968179676,43369,0.0009011209454663684,2.6741703376173973,-0.0006120699531493301,560.4063243865967,177638.16030225353
24,1,4000000,1.2908844947814941,0.05212856387989064,1.369406932182539,43527,0.0009668079509629933,2.6737624406814575,-0.0005956842769592186,521.3200445175171,179541.6262311195
25,1,4160000,1.3183830976486206,0.0528677733257012,1.3697274764551732,43675,0.001603940342335364,2.673035718500614,-0.0009927615765263909,477.0976228713989,180808.86543335783
26,1,4320000,1.392732858657837,0.05496881686165612,1.4117790760848303,43934,0.0018197330500565158,2.6721140518784523,-0.0009448633381907712,442.45830059051514,181300.57177682727
27,1,4480000,1.4319533109664917,0.05604211099514453,1.420702300747039,44074,0.000848980282425851,2.671226754784584,-0.0007968561303641764,408.4447326660156,182469.28135432524
28,1,4640000,1.4820870161056519,0.05753152257423058,1.4487760651314712,44254,0.001363065649024225,2.670528121292591,-0.0009040074710355839,384.8235378265381,179648.27481872938
29,1,4800000,1.505945086479187,0.05796938569084493,1.4787373210846362,44489,0.001185632721958086,2.669473685324192,-0.0007230005098790571,367.09834480285645,180526.6496503154
30,1,4960000,1.5109142065048218,0.05781637163202893,1.4719344009939979,44797,0.0018292618236303501,2.668536104261875,-0.0008627025199530181,348.23382091522217,181017.52136691145
31,1,5120000,1.5322965383529663,0.058208095048100365,1.4753811205406373,45114,0.0014958285235706636,2.66742280125618,-0.0007701702545546141,324.348819732666,181057.4774685388
32,1,5280000,1.6276602745056152,0.06066812005901654,1.5160557957589778,45411,0.001506631170377205,2.6658673882484436,-0.0007349329707722063,307.698618888855,181831.73076210264
33,1,5440000,1.6147568225860596,0.060032876712328764,1.5176323523116437,45625,0.001308723492026185,2.664777360856533,-0.0007156441852202988,293.6834077835083,184298.7117931295
34,1,5600000,1.6954171657562256,0.06192625542399861,1.543546604311125,45861,0.0018779420733044394,2.663331098854542,-0.0005278878543322207,286.6335697174072,185635.85274287223
35,1,5760000,1.692800760269165,0.06173027878893563,1.5365444835000381,45877,0.002283067470569222,2.661281146109104,-0.0007701553696080055,271.88744354248047,184392.44790601174
36,1,5920000,1.6962692737579346,0.061837302277072834,1.546758799268622,46024,0.002046006539012251,2.6585405692458153,-0.00039428331365343183,261.1201329231262,186273.89530463732
