iter,stage,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,5,16384,2.5634803771972656,0.11932373046875,27.717284301295877,256,0.013188213871217158,7.0575331300497055,0.002737347283982672,2688.997947692871,14377.520939985854
1,5,32768,2.3979721069335938,0.1109619140625,27.613673551473767,256,0.00708273342843313,7.066421061754227,-0.0007521430525230244,2432.5378494262695,23782.773029118205
2,5,49152,2.381178379058838,0.10980224609375,27.904258359456435,256,0.005085774065264559,7.070585265755653,-0.001541475357953459,2563.263816833496,23963.08864124011
3,5,65536,2.5346107482910156,0.1173095703125,27.34587079845369,256,0.003146654787087755,7.068111598491669,-0.0016420252140960656,2849.3464965820312,24273.23232675403
