iter,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,32000,-0.17943458259105682,0.0,0.0,0,0.02173664842848666,2.7538926899433136,0.0020202053274260834,2.146049253642559,39064.04219961417
1,64000,-0.25770893692970276,1.0,20.223621368408203,2,0.012062215821060818,2.7425400018692017,-3.703755373862805e-05,14.576377630233765,84584.84631375059
2,96000,-0.25250881910324097,1.0,22.284086227416992,9,0.014293538114987313,2.7315924763679504,-0.00025151088993879966,56.5994918346405,84460.1353554615
3,128000,-0.101119264960289,1.0,23.118792684454668,38,0.02283760509453714,2.7304657995700836,0.0032358297175960615,212.75561904907227,99717.67495603372
4,160000,0.1377555876970291,1.0,26.797932119930493,85,0.010498138472030405,2.730985552072525,6.054163350199815e-05,406.06199836730957,83578.86867760295
5,192000,0.11698174476623535,1.0,30.75166789594903,83,0.005073564043619626,2.7306714802980423,-0.0012936584407725604,378.33964347839355,85886.4173537223
6,224000,-1.187635064125061,0.0038415571111490524,9.86246333644112,11714,0.0030052127303183624,2.7316967993974686,-0.0005092266510473564,224.62042999267578,84940.59858583771
7,256000,-0.08075231313705444,0.006697578567748583,0.1999367251339676,15528,0.004359759458100598,2.7346687391400337,0.0004889898546025506,513.132884979248,83926.5891911375
8,288000,-0.17872437834739685,0.006690254100997105,0.27715348053223915,15545,0.0022846500865687175,2.7350660637021065,-0.0011720778966264334,429.09237480163574,83854.50678086905
9,320000,-0.20149751007556915,0.006559256193084124,0.3860995665497213,15703,0.003777435288725428,2.7351660951972008,-0.0024479931307723746,418.65984630584717,85197.66525400223
10,352000,-0.00981869176030159,0.009026068295146121,0.49384283831359865,15843,0.002927044458295768,2.7348370105028152,-0.0022762219778087456,572.0704755783081,85133.50909861812
11,384000,0.2408239096403122,0.011959463712469314,0.5689355698107262,15887,0.00033551147551565916,2.7341818809509277,-0.0007007008989603492,689.5548343658447,85691.4004495971
12,416000,0.3577998876571655,0.013183501789189528,0.663240885957575,15929,0.0013024688652108125,2.7340029403567314,-0.0008355327798881262,748.2442226409912,81754.67817473687
13,448000,0.4397183954715729,0.013956997359486986,0.5798645662269127,15906,0.0015583476207680178,2.733656443655491,-0.0011244818610975926,792.1311798095703,84903.79529807683
14,480000,0.48951074481010437,0.01482505182486337,0.6193185688016163,15919,0.001804038276827967,2.73331455886364,-0.0008750188544581761,791.0956344604492,82544.86776648836
15,512000,0.6161877512931824,0.016371847948814452,0.6889489321887545,15942,0.001771724644913206,2.733086258172989,-0.0009444496749893005,849.4807109832764,82548.27345607028
16,544000,0.564748227596283,0.015751490429871354,0.6558209445882749,15935,0.0005745996300807405,2.732603169977665,-0.0005100791986478725,826.2237548828125,83086.21998620681
17,576000,0.5972222685813904,0.016122961104140528,0.6570534704919142,15940,0.0009248319583675766,2.732102483510971,-0.0008719251375168824,811.0732040405273,81751.02542022419
18,608000,0.7586708664894104,0.018279704519844748,0.7437128401584704,15974,0.0016758348100111107,2.7315422147512436,-0.0009152316956715367,865.8887901306152,84169.8654067068
19,640000,0.5947225093841553,0.016002510197678066,0.6282476410208955,15935,0.0017093268299522605,2.731330268085003,-0.0008467229217785643,730.8116092681885,81616.9020421212
20,672000,0.8451664447784424,0.019384692346173085,0.8052509512049726,15992,0.0007284335951275409,2.731138102710247,-0.00046573405882099905,827.5244388580322,84383.20766779277
21,704000,0.7377345561981201,0.017788913247729406,0.7203411089153152,15965,0.000795309389448505,2.731040060520172,-0.0010870785367842473,728.7613296508789,81460.74574343853
